"TABLE 1: snapshot at iteration 1 (use min(max_iter, 1))",,
metric,mean,std
faithfulness,0.7106,0.44495348882150465
completeness,0.6063999999999999,0.43939181870021365
relevance,0.7664000000000001,0.4065484020463158
bertscore_f1,0.808780533202,0.016317791096736586
rougeL,0.056342384326,0.030959543949253748
bleu,0.00011889564869204364,0.0005246051151129583
cosine_sim,0.537819477378,0.18786568679213278
,,
"TABLE 2: snapshot at iteration 2 (use min(max_iter, 2))",,
metric,mean,std
faithfulness,0.738,0.43323363531186154
completeness,0.6514,0.4326573989309548
relevance,0.7524,0.4195787562130984
bertscore_f1,0.8086903518499999,0.016531349367888377
rougeL,0.052779146852,0.029609244720000472
bleu,7.592768697239192e-05,0.0003998729634537713
cosine_sim,0.533234342366,0.1956884974208653
,,
"TABLE 3: snapshot at iteration 3 (use min(max_iter, 3))",,
metric,mean,std
faithfulness,0.7515999999999999,0.4272968584139379
completeness,0.673,0.4244659499716918
relevance,0.7538,0.4219023146727836
bertscore_f1,0.808788705714,0.01625452882415726
rougeL,0.051904414134,0.030100621336051597
bleu,7.54776633015804e-05,0.00039995106214817946
cosine_sim,0.5252799832880001,0.20463210501465454
,,
"TABLE 4: snapshot at iteration 4 (use min(max_iter, 4))",,
metric,mean,std
faithfulness,0.7764000000000001,0.4111704784206294
completeness,0.6905999999999999,0.4168923583815778
relevance,0.7574,0.42228175874353735
bertscore_f1,0.80892296909,0.016198073586112763
rougeL,0.051068842336,0.030110520534884357
bleu,7.532405962875671e-05,0.00040000906846161794
cosine_sim,0.519269067348,0.20802243832090456
,,
