"TABLE 1: snapshot at iteration 1 (use min(max_iter, 1))",,
metric,mean,std
faithfulness,0.888,0.3156822938038218
completeness,0.5472,0.491217619288028
relevance,0.542,0.4987318587516419
bertscore_f1,0.7899400898040001,0.018748434602965183
rougeL,0.034318163138000006,0.030207562146924948
bleu,9.641996556254428e-05,0.0008850053913284193
cosine_sim,0.293036392682,0.3119908973238518
,,
"TABLE 2: snapshot at iteration 2 (use min(max_iter, 2))",,
metric,mean,std
faithfulness,0.9316,0.2520486004602842
completeness,0.7028,0.4527716470017279
relevance,0.588,0.4926880178834593
bertscore_f1,0.791169925808,0.01857180967616642
rougeL,0.034657855168,0.029835117183636087
bleu,8.890791606589665e-05,0.0008786533918488542
cosine_sim,0.312430519342,0.30925230307905244
,,
"TABLE 3: snapshot at iteration 3 (use min(max_iter, 3))",,
metric,mean,std
faithfulness,0.9556,0.20540941081679828
completeness,0.815,0.38425291228721015
relevance,0.622,0.48537323200676963
bertscore_f1,0.7919967026660001,0.018364163274988347
rougeL,0.03477384739199999,0.02960717009462614
bleu,8.848418759580283e-05,0.0008786389796366105
cosine_sim,0.32189330802999994,0.30713519335236483
,,
"TABLE 4: snapshot at iteration 4 (use min(max_iter, 4))",,
metric,mean,std
faithfulness,0.9516,0.21407731826700555
completeness,0.863,0.3391770660942875
relevance,0.638,0.481060118566641
bertscore_f1,0.792280904516,0.018247773668842386
rougeL,0.034946719464,0.029712227290868563
bleu,8.884429988097218e-05,0.0008786215228355483
cosine_sim,0.325304206274,0.3064161010600555
,,
