"TABLE 1: snapshot at iteration 1 (use min(max_iter, 1))",,
metric,mean,std
faithfulness,0.8882235528942116,0.3154061475687367
completeness,0.5481037924151697,0.491142949868558
relevance,0.5429141716566867,0.4986528758753553
bertscore_f1,0.7900198300499002,0.018814526419138677
rougeL,0.03442513703992015,0.030272181429495896
bleu,9.622753449355717e-05,0.0008841304346547968
cosine_sim,0.2938965513732535,0.31227282900207626
,,
"TABLE 2: snapshot at iteration 2 (use min(max_iter, 2))",,
metric,mean,std
faithfulness,0.9317365269461078,0.25181496866372693
completeness,0.7033932135728542,0.4525134949079997
relevance,0.5888223552894212,0.49253914603739024
bertscore_f1,0.7912472112914172,0.018633700288399852
rougeL,0.03476415104191617,0.029900077828413547
bleu,8.87304791076813e-05,0.0008777832835400922
cosine_sim,0.3132519672015968,0.30948954110823
,,
"TABLE 3: snapshot at iteration 3 (use min(max_iter, 3))",,
metric,mean,std
faithfulness,0.9556886227544911,0.2052134860341771
completeness,0.8153692614770459,0.3839574369292168
relevance,0.6227544910179641,0.4851816130118601
bertscore_f1,0.7920723378962076,0.018423736660004006
rougeL,0.03487991174451098,0.029672671350145743
bleu,8.830759640299683e-05,0.0008777688004440166
cosine_sim,0.3226958680878243,0.30735331195133925
,,
"TABLE 4: snapshot at iteration 4 (use min(max_iter, 4))",,
metric,mean,std
faithfulness,0.9516966067864272,0.2138740652076896
completeness,0.8632734530938124,0.33889299649572624
relevance,0.6387225548902196,0.4808508759171179
bertscore_f1,0.7923559724770459,0.0183067887945464
rougeL,0.035052438762475054,0.029776673408696355
bleu,8.866698990116985e-05,0.000877751433882267
cosine_sim,0.32609995815169657,0.30662728039322945
,,
